00:00:00.000305 main     VirtualBox XPCOM Server 6.1.18 r142142 linux.amd64 (Feb 16 2021 07:45:49) release log
00:00:00.000307 main     Log opened 2021-03-16T07:41:36.827048000Z
00:00:00.000307 main     Build Type: release
00:00:00.000309 main     OS Product: Linux
00:00:00.000311 main     OS Release: 5.11.2-arch1-1
00:00:00.000312 main     OS Version: #1 SMP PREEMPT Fri, 26 Feb 2021 18:26:41 +0000
00:00:00.000330 main     DMI Product Name: 20H9004HSC
00:00:00.000338 main     DMI Product Version: ThinkPad T570
00:00:00.000342 main     Firmware type: UEFI
00:00:00.000979 main     Secure Boot: Disabled
00:00:00.001015 main     Host RAM: 15734MB (15.3GB) total, 13290MB (12.9GB) available
00:00:00.001018 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.001018 main     Process ID: 11324
00:00:00.001019 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.002863 main     IPC socket path: /tmp/.vbox-kers-ipc/ipcd
00:00:00.111157 nspr-2   VirtualBox: object creation starts
00:00:00.111208 nspr-2   Home directory: '/home/kers/.config/VirtualBox'
00:00:00.111293 nspr-2   Loading settings file "/home/kers/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.115429 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlp4s0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.136781 nspr-2   HostDnsMonitor: initializing
00:00:00.136936 nspr-2   NAT: resolv.conf: nameserver 192.168.84.194
00:00:00.136945 nspr-2   HostDnsMonitor: updating information
00:00:00.136953 nspr-2   HostDnsMonitor: old information
00:00:00.136955 nspr-2     no server entries
00:00:00.136957 nspr-2     no domain set
00:00:00.136958 nspr-2     no search string entries
00:00:00.136960 nspr-2   HostDnsMonitor: new information
00:00:00.136962 nspr-2     server 1: 192.168.84.194
00:00:00.136964 nspr-2     no domain set
00:00:00.136965 nspr-2     no search string entries
00:00:00.142158 nspr-2   failed to create vboxnet0, error (0x80004005)
00:00:00.147440 nspr-2   failed to create vboxnet1, error (0x80004005)
00:00:00.147593 nspr-2   VD: VDInit finished with VINF_SUCCESS
00:00:00.147667 nspr-2   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={027bc463-929c-40e8-bf16-fea557cd8e7e} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.151171 nspr-2   Loading settings file "/home/kers/VirtualBox VMs/bof.devbox-01032021/bof.devbox-01032021.vbox" with version "1.16-linux"
00:00:00.151605 nspr-2   VirtualBox: object created
00:00:00.164626 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85632c68-b5bb-4316-a900-5eb28d3413df} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.165057 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85632c68-b5bb-4316-a900-5eb28d3413df} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.165417 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85632c68-b5bb-4316-a900-5eb28d3413df} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.165561 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85632c68-b5bb-4316-a900-5eb28d3413df} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.165692 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85632c68-b5bb-4316-a900-5eb28d3413df} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.165816 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85632c68-b5bb-4316-a900-5eb28d3413df} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'IDE'}, preserve=false aResultDetail=0
00:00:00.165953 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85632c68-b5bb-4316-a900-5eb28d3413df} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 1 of controller 'IDE'}, preserve=false aResultDetail=0
